period_end,label,description,amount
2026-01-31,Jan 2026,LABOUR CHARGES- OUTSIDE,3844.0
2026-01-31,Jan 2026,OFFICE EXPENSES,2258.5
2026-01-31,Jan 2026,OFFICE RENT,22000.0
2026-01-31,Jan 2026,OTHER  MAINTENANCE,32370.0
2026-01-31,Jan 2026,QID & VISA EXP-STAFFS,2700.0
2026-01-31,Jan 2026,RENT A CAR,2000.0
2026-01-31,Jan 2026,SALARY -STAFFS,29100.0
2026-01-31,Jan 2026,SHARAF- PERSONAL  EXPENSES,690.0
2026-01-31,Jan 2026,SPONSOR SHIP FEES,3000.0
2026-01-31,Jan 2026,TRANSPORTATION,750.0
2026-01-31,Jan 2026,WATCHMAN,500.0
2026-01-31,Jan 2026,WIFI&MOBILE-OFFICE&UNITS,2413.0
2026-02-28,Feb 2026,FOOD EXPENSES,1435.75
2026-02-28,Feb 2026,FUEL-VEHICLES,3023.0
2026-02-28,Feb 2026,INSURANCE-DOHA BANK,6570.0
2026-02-28,Feb 2026,KAHRAMA DEPOSIT,18000.0
2026-02-28,Feb 2026,KAHRAMA-OFFICE,982.0
2026-02-28,Feb 2026,KEYMONEY PROPERTIES,24000.0
2026-02-28,Feb 2026,LABOUR CHARGES- OUTSIDE,5400.0
2026-02-28,Feb 2026,OFFICE EXPENSES,4659.0
2026-02-28,Feb 2026,OFFICE RENT,22000.0
2026-02-28,Feb 2026,OTHER  MAINTENANCE,12391.5
2026-02-28,Feb 2026,RENT A CAR,2000.0
2026-02-28,Feb 2026,SALARY -STAFFS,18327.0
2026-02-28,Feb 2026,SALARY-STAFFS,4000.0
2026-02-28,Feb 2026,SHARAF- PERSONAL  EXPENSES,537.0
2026-02-28,Feb 2026,SPONSOR SHIP FEES,3000.0
2026-02-28,Feb 2026,TICKET STAFFS,1222.0
2026-02-28,Feb 2026,VEHICLE MAINTENANCE,3987.81
2026-02-28,Feb 2026,WATCHMAN,500.0
2026-02-28,Feb 2026,WIFI&MOBILE-OFFICE&UNITS,1627.0
2026-03-31,Mar 2026,A/C MAINTENANCE,8840.0
2026-03-31,Mar 2026,ADEKHAR-DEPOSIT,6000.0
2026-03-31,Mar 2026,AIR CONDITION PURCHASE,1969.0
2026-03-31,Mar 2026,BANK CHARGES,900.0
2026-03-31,Mar 2026,CLEANING,2200.0
2026-03-31,Mar 2026,COMMISION - PROPERTIES,9150.0
2026-03-31,Mar 2026,FOOD EXPENSES,98.0
2026-03-31,Mar 2026,FUEL-VEHICLES,4032.98
2026-03-31,Mar 2026,INSURANCE-DOHA BANK,6570.0
2026-03-31,Mar 2026,KEYMONEY PROPERTIES,208500.0
2026-03-31,Mar 2026,LABOUR CHARGES- OUTSIDE,5000.0
2026-03-31,Mar 2026,OFFICE EXPENSES,3871.15
2026-03-31,Mar 2026,OFFICE RENT,22000.0
2026-03-31,Mar 2026,OTHER  MAINTENANCE,6896.0
2026-03-31,Mar 2026,QID & VISA EXP-STAFFS,2277.0
2026-03-31,Mar 2026,RENT A CAR,2000.0
2026-03-31,Mar 2026,SALARY -STAFFS,10327.0
2026-03-31,Mar 2026,SALARY -STAFFS,29100.0
2026-03-31,Mar 2026,SECURITY DEPOSIT-REFUND,1500.0
2026-03-31,Mar 2026,SHARAF- PERSONAL  EXPENSES,337.0
2026-03-31,Mar 2026,SPONSOR SHIP FEES,5000.0
2026-03-31,Mar 2026,TRANSPORATION-WASTE,540.0
2026-03-31,Mar 2026,VEHICLE MAINTENANCE,3057.0
2026-03-31,Mar 2026,WATCHMAN,500.0
2026-03-31,Mar 2026,WIFI&MOBILE-OFFICE&UNITS,2360.0
2026-04-30,Apr 2026,A/C MAINTENANCE,10445.0
2026-04-30,Apr 2026,BANK CHARGES,900.0
2026-04-30,Apr 2026,BONUS- STAFFS,2000.0
2026-04-30,Apr 2026,CLEANING & PEST CONTROL,2480.0
2026-04-30,Apr 2026,COMMISION - PROPERTIES,1570.0
2026-04-30,Apr 2026,FOOD EXPENSES,370.0
2026-04-30,Apr 2026,FUEL-VEHICLES,4536.0
2026-04-30,Apr 2026,INSURANCE-DOHA BANK,6570.0
2026-04-30,Apr 2026,KEYMONEY PROPERTIES,333000.0
2026-04-30,Apr 2026,LABOUR CHARGES- OUTSIDE,7190.0
2026-04-30,Apr 2026,OFFICE EXPENSES,2795.0
2026-04-30,Apr 2026,OFFICE KAHRAMA,2126.0
2026-04-30,Apr 2026,OFFICE RENT,22000.0
2026-04-30,Apr 2026,OTHER  MAINTENANCE,12338.7
2026-04-30,Apr 2026,OTHER  MAINTENANCE,75000.0
2026-04-30,Apr 2026,QID-STAFFS,1340.0
2026-04-30,Apr 2026,RENT A CAR,2000.0
2026-04-30,Apr 2026,SALARY -STAFFS,37833.0
2026-04-30,Apr 2026,SECURITY DEPOSIT-RETURN,1200.0
2026-04-30,Apr 2026,SHARAF- PERSONAL  EXPENSES,678.0
2026-04-30,Apr 2026,SPONSOR CAR,50000.0
2026-04-30,Apr 2026,SPONSOR SHIP FEES,5000.0
2026-04-30,Apr 2026,TRANSPORATION-WASTE,2050.0
2026-04-30,Apr 2026,VEHICLE MAINTENANCE,4784.0
2026-04-30,Apr 2026,WATCHMAN,500.0
2026-04-30,Apr 2026,WIFI&MOBILE-OFFICE&UNITS,4059.0
2026-05-31,May 2026,AIR CONDITION PURCHASE,7892.0
2026-05-31,May 2026,CLEANING & PEST CONTROL,170.0
2026-05-31,May 2026,COMMISION - PROPERTIES,3500.0
2026-05-31,May 2026,FOOD EXPENSES,30.0
2026-05-31,May 2026,FUEL-VEHICLES,3836.0
2026-05-31,May 2026,GOVT EXPENSES (FEES),1060.0
2026-05-31,May 2026,INSURANCE-DOHA BANK,6570.0
2026-05-31,May 2026,KAHRAMA-DEPOSIT,4000.0
2026-05-31,May 2026,KEYMONEY PROPERTIES,100000.0
2026-05-31,May 2026,LIABLITY PAID BACK,15000.0
2026-05-31,May 2026,OFFICE EXPENSES,1331.0
2026-05-31,May 2026,OFFICE RENT,22000.0
2026-05-31,May 2026,OTHER  MAINTENANCE,12600.0
2026-05-31,May 2026,OTHER  MAINTENANCE,4588.0
2026-05-31,May 2026,RENT A CAR,2000.0
2026-05-31,May 2026,SALARY -STAFFS,44484.0
2026-05-31,May 2026,SECURITY DEPOSIT-RETURN,4900.0
2026-05-31,May 2026,SHARAF- PERSONAL  EXPENSES,1010.0
2026-05-31,May 2026,SPONSOR SHIP FEES,5000.0
2026-05-31,May 2026,TICKET STAFFS,2800.0
2026-05-31,May 2026,TRANSPORATION-WASTE,270.0
2026-05-31,May 2026,VEHICLE MAINTENANCE,3444.28
2026-05-31,May 2026,WATCHMAN,500.0
2026-05-31,May 2026,WIFI&MOBILE-OFFICE&UNITS,5541.0
2026-06-30,Jun 2026,A/C PURCHASE,3675.0
2026-06-30,Jun 2026,A/C MAINTENANCE,2000.0
2026-06-30,Jun 2026,ADVERTISEMENT EXPENSES,20000.0
2026-06-30,Jun 2026,AUDIT FEES,1500.0
2026-06-30,Jun 2026,BANK CHARGES,2700.0
2026-06-30,Jun 2026,CLEANING & PEST CONTROL,2000.0
2026-06-30,Jun 2026,COMMISION - PROPERTIES,4400.0
2026-06-30,Jun 2026,FOOD EXPENSES,210.0
2026-06-30,Jun 2026,FUEL EXPENSES,2625.0
2026-06-30,Jun 2026,INSURANCE-DOHA BANK,13140.0
2026-06-30,Jun 2026,IT & SOFTWARE EXPENSES,7200.0
2026-06-30,Jun 2026,KAHRAMA-DEPOSIT,31680.0
2026-06-30,Jun 2026,KAHRAMA-OFFICE,2822.0
2026-06-30,Jun 2026,KEYMONEY PROPERTIES,35271.0
2026-06-30,Jun 2026,OFFICE EXPENSES,1205.75
2026-06-30,Jun 2026,OFFICE RENT,22000.0
2026-06-30,Jun 2026,OTHER  MAINTENANCE,6551.0
2026-06-30,Jun 2026,QID & VISA EXP-STAFFS,8620.0
2026-06-30,Jun 2026,RENT A CAR,2000.0
2026-06-30,Jun 2026,SALARY -STAFFS,16550.0
2026-06-30,Jun 2026,SECURITY DEPOSIT-REFUND,2411.0
2026-06-30,Jun 2026,SHARAF- PERSONAL  EXPENSES,1250.0
2026-06-30,Jun 2026,SPONSOR SHIP FEES,5000.0
2026-06-30,Jun 2026,TRANSPORATION-WASTE,500.0
2026-06-30,Jun 2026,VEHICLE MAINTENCE,160.0
2026-06-30,Jun 2026,WATCHMAN,500.0
2026-06-30,Jun 2026,WIFI&MOBILE-OFFICE&UNITS,5560.0
