sl_no,building,unit_no,tenant_label,month,rent,received,note
464,MR-130,F-07,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
474,MR-130,F-08,VACANT,2025-12-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
483,MR-130,F-09,VACANT,2026-05-01,4300,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
489,MR-130,F-10,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
675,TV-20,F-01,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
683,TV-20,F-02,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
684,TV-20,F-02,VACANT,2025-10-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
685,TV-20,F-02,VACANT,2025-11-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
686,TV-20,F-02,VACANT,2025-12-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
695,TV-20,F-03,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
696,TV-20,F-03,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
697,TV-20,F-03,VACANT,2025-10-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
698,TV-20,F-03,VACANT,2025-11-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
699,TV-20,F-03,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
725,TV-20,O-01,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
731,TV-20,O-01,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
732,TV-20,O-01,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
733,TV-20,O-01,VACANT,2025-10-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
734,TV-20,O-01,VACANT,2025-11-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
735,TV-20,O-01,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
745,TV-20,O-02,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
746,TV-20,O-02,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
747,TV-20,O-02,VACANT,2025-10-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
757,TV-20,O-03,VACANT,2025-08-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
758,TV-20,O-03,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
759,TV-20,O-03,VACANT,2025-10-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
767,TV-20,P-01,VACANT,2025-12-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
768,TV-27,CABIN,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
769,TV-27,CABIN,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
770,TV-27,CABIN,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
771,TV-27,CABIN,VACANT,2026-05-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
772,TV-27,CABIN,VACANT,2026-06-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
773,TV-27,CABIN,VACANT,2026-07-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
810,TV-27,G-03,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
811,TV-27,G-03,EMPTY,2026-03-01,3500,3500,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
815,TV-27,G-03,VACANT,2026-04-01,3500,3500,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
816,TV-27,G-04,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
817,TV-27,G-04,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
821,TV-27,G-04,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
822,TV-27,G-05,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
823,TV-27,G-05,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
827,TV-27,G-05,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
830,TV-27,G-06,VACANT,2026-05-01,3500,3500,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
848,TV-66,0-02,VACANT,2025-12-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
849,TV-66,0-02,VACANT,2026-07-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
860,TV-66,F-04,VACANT,2025-12-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
893,TV-66,G-01,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
926,TV-66,P-01,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
936,TV-68,0-01,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
937,TV-68,0-01,VACANT,2025-10-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
938,TV-68,0-02,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
939,TV-68,0-02,VACANT,2025-10-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
940,TV-68,0-02,VACANT,2025-11-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
951,TV-68,F-04,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
960,TV-68,F-05,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
961,TV-68,F-05,VACANT,2025-10-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
962,TV-68,F-05,VACANT,2025-11-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
981,TV-68,G-01,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
982,TV-68,G-01,VACANT,2025-10-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
983,TV-68,G-01,VACANT,2025-11-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
984,TV-68,G-01,VACANT,2026-07-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1017,TV-68,P-01,VACANT,2025-09-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1023,TWR-12,F-02,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1027,TWR-12,F-02,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1033,TWR-12,F-04,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1037,TWR-12,F-04,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1097,TWR-16,F-01,VACANT,2026-05-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1112,TWR-16,F-04,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1176,TWR-17,F-02/1,VACANT,2026-05-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1177,TWR-17,F-02/1,VACANT,2026-06-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1179,TWR-17,F-02/2,VACANT,2026-05-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1180,TWR-17,F-02/2,VACANT,2026-06-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1181,TWR-17,F-02/2,VACANT,2026-07-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1210,TWR-17,F-08,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1276,TWR-19,F-08,VACANT,2026-06-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1326,TWR-20,F-05,VACANT,2026-05-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1331,TWR-20,F-06,VACANT,2026-06-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1355,TWR-20,F-14,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1357,TWR-20,F-16,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1368,TWR-20,F-O/3,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1379,TWR-20,F-O/5,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1466,TWR-35,F-16,VACANT,2026-05-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1467,TWR-35,F-16,VACANT,2026-06-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1582,TWR-39,F-10,VACANT,2026-06-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1613,TWR-45,F-02,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1617,TWR-45,F-02,VACANT,2026-04-01,675,675,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1623,TWR-45,F-04,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1626,TWR-45,F-04,VACANT,2026-04-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1627,TWR-45,F-04,VACANT,2026-05-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1708,TWR-58,F-07,EMPTY,2026-03-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1778,UG-169,G-03/B,VACANT,2026-06-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1779,UG-169,G-03/B,VACANT,2026-07-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1816,UG-180,G-04/B,VACANT,2025-12-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1845,UG-20,F-05,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1857,UG-20,F-07,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1860,UG-20,F-07,VACANT,2026-07-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1878,UG-20,F-10,VACANT,2026-07-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1894,UG-20,F-13,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
1900,UG-20,F-14,EMPTY,2026-02-01,0,0,Unit shown as VACANT/EMPTY. Cannot be invoiced without a party.
687,TV-20,F-02,None,2025-09-01,4500,4500,no tenancy in the master book covers this unit in this month
