building,period,accrued_on,amount,paid_on,paid_amount,mode,remarks
MT-21,2026-02-01,2026-02-01,20000.00,2026-02-01,20000.00,Cheque,Head lease MT-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MT-21,2026-03-01,2026-03-01,20000.00,2026-03-01,20000.00,Cheque,Head lease MT-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MT-21,2026-04-01,2026-04-01,20000.00,2026-04-01,20000.00,Cheque,Head lease MT-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MT-21,2026-05-01,2026-05-01,20000.00,2026-05-01,20000.00,Cheque,Head lease MT-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MT-21,2026-06-01,2026-06-01,20000.00,2026-06-01,20000.00,Cheque,Head lease MT-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
MT-21,2026-07-01,2026-07-01,20000.00,2026-07-01,20000.00,Cheque,Head lease MT-21. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
OG-48,2025-11-01,2025-11-01,52000.00,2025-11-01,52000.00,Cheque,Head lease OG-48. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
OG-48,2025-12-01,2025-12-01,52000.00,2025-12-01,52000.00,Cheque,Head lease OG-48. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
OG-48,2026-01-01,2026-01-01,52000.00,2026-01-01,52000.00,Cheque,Head lease OG-48. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
OG-48,2026-02-01,2026-02-01,52000.00,2026-02-01,52000.00,Cheque,Head lease OG-48. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
OG-48,2026-03-01,2026-03-01,52000.00,2026-03-01,52000.00,Cheque,Head lease OG-48. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
OG-48,2026-04-01,2026-04-01,52000.00,2026-04-01,52000.00,Cheque,Head lease OG-48. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
OG-48,2026-05-01,2026-05-01,52000.00,2026-05-01,52000.00,Cheque,Head lease OG-48. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
OG-48,2026-06-01,2026-06-01,52000.00,2026-06-01,52000.00,Cheque,Head lease OG-48. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
OG-48,2026-07-01,2026-07-01,52000.00,2026-07-01,52000.00,Cheque,Head lease OG-48. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-20,2025-10-01,2025-10-01,39000.00,2025-10-01,39000.00,Cheque,Aug-Oct 2025 combined into one posting by the source. Head lease TV-20. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-20,2025-12-01,2025-12-01,39000.00,2025-12-01,39000.00,Cheque,Head lease TV-20. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-20,2026-03-01,2026-03-01,39000.00,2026-03-01,39000.00,Cheque,Head lease TV-20. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-20,2026-06-01,2026-06-01,39000.00,2026-06-01,39000.00,Cheque,Head lease TV-20. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-27,2026-03-01,2026-03-01,25000.00,2026-03-01,25000.00,Cheque,Head lease TV-27. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-27,2026-04-01,2026-04-01,25000.00,2026-04-01,25000.00,Cheque,Head lease TV-27. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-27,2026-05-01,2026-05-01,25000.00,2026-05-01,25000.00,Cheque,Head lease TV-27. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-27,2026-06-01,2026-06-01,25000.00,2026-06-01,25000.00,Cheque,Head lease TV-27. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-27,2026-07-01,2026-07-01,25000.00,2026-07-01,25000.00,Cheque,Head lease TV-27. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-66,2025-11-01,2025-11-01,14000.00,2025-11-01,14000.00,Cheque,Head lease TV-66. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-66,2025-12-01,2025-12-01,14000.00,2025-12-01,14000.00,Cheque,Head lease TV-66. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-66,2026-01-01,2026-01-01,14000.00,2026-01-01,14000.00,Cheque,Head lease TV-66. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-66,2026-02-01,2026-02-01,14000.00,2026-02-01,14000.00,Cheque,Head lease TV-66. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-66,2026-03-01,2026-03-01,14000.00,2026-03-01,14000.00,Cheque,Head lease TV-66. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-66,2026-04-01,2026-04-01,14000.00,2026-04-01,14000.00,Cheque,Head lease TV-66. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-66,2026-05-01,2026-05-01,14000.00,2026-05-01,14000.00,Cheque,Head lease TV-66. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-66,2026-06-01,2026-06-01,14000.00,2026-06-01,14000.00,Cheque,Head lease TV-66. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-66,2026-07-01,2026-07-01,14000.00,2026-07-01,14000.00,Cheque,Head lease TV-66. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-68,2025-10-01,2025-10-01,14000.00,2025-10-01,14000.00,Cheque,Aug-Oct 2025 combined into one posting by the source. Head lease TV-68. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-68,2025-11-01,2025-11-01,14000.00,2025-11-01,14000.00,Cheque,Head lease TV-68. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-68,2025-12-01,2025-12-01,14000.00,2025-12-01,14000.00,Cheque,Head lease TV-68. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-68,2026-01-01,2026-01-01,14000.00,2026-01-01,14000.00,Cheque,Head lease TV-68. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-68,2026-02-01,2026-02-01,14000.00,2026-02-01,14000.00,Cheque,Head lease TV-68. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-68,2026-03-01,2026-03-01,14000.00,2026-03-01,14000.00,Cheque,Head lease TV-68. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-68,2026-04-01,2026-04-01,14000.00,2026-04-01,14000.00,Cheque,Head lease TV-68. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-68,2026-05-01,2026-05-01,14000.00,2026-05-01,14000.00,Cheque,Head lease TV-68. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-68,2026-06-01,2026-06-01,14000.00,2026-06-01,14000.00,Cheque,Head lease TV-68. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TV-68,2026-07-01,2026-07-01,14000.00,,0.00,Cheque,UNPAID 14000.00 at 31-Jul-2026 (Jul-2026 balance). Head lease TV-68. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
TWR-12,2026-03-01,2026-03-01,16000.00,2026-03-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-06 and 2026-07. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-12,2026-04-01,2026-04-01,16000.00,2026-04-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-06 and 2026-07. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book. Source posted this month in Jul-2026; accrued here in the month it relates to."
TWR-12,2026-05-01,2026-05-01,16000.00,2026-05-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-06 and 2026-07. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-16,2026-05-01,2026-05-01,16000.00,2026-05-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-16,2026-06-01,2026-06-01,16000.00,2026-06-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-16,2026-07-01,2026-07-01,16000.00,2026-07-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-17,2026-03-01,2026-03-01,16000.00,2026-03-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-17,2026-04-01,2026-04-01,16000.00,2026-04-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book. Source posted this month in Jul-2026; accrued here in the month it relates to."
TWR-17,2026-05-01,2026-05-01,16000.00,2026-05-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-17,2026-06-01,2026-06-01,16000.00,2026-06-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-17,2026-07-01,2026-07-01,16000.00,2026-07-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-19,2026-03-01,2026-03-01,16000.00,2026-03-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-19,2026-04-01,2026-04-01,16000.00,2026-04-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book. Source posted this month in Jul-2026; accrued here in the month it relates to."
TWR-19,2026-05-01,2026-05-01,16000.00,2026-05-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-19,2026-06-01,2026-06-01,16000.00,2026-06-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-19,2026-07-01,2026-07-01,16000.00,,0.00,Cheque,"UNPAID 16000.00 at 31-Jul-2026. The source states 112,000 outstanding for the villa group without naming a villa; applied newest month first. Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-20,2026-05-01,2026-05-01,16000.00,2026-05-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-20,2026-06-01,2026-06-01,16000.00,2026-06-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-20,2026-07-01,2026-07-01,16000.00,,0.00,Cheque,"UNPAID 16000.00 at 31-Jul-2026. The source states 112,000 outstanding for the villa group without naming a villa; applied newest month first. Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-35,2026-03-01,2026-03-01,16000.00,2026-03-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-08 and 2026-09. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-35,2026-04-01,2026-04-01,16000.00,2026-04-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-08 and 2026-09. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book. Source posted this month in Jul-2026; accrued here in the month it relates to."
TWR-35,2026-05-01,2026-05-01,16000.00,2026-05-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-08 and 2026-09. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-35,2026-06-01,2026-06-01,16000.00,2026-06-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-08 and 2026-09. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-35,2026-07-01,2026-07-01,16000.00,,0.00,Cheque,"UNPAID 16000.00 at 31-Jul-2026. The source states 112,000 outstanding for the villa group without naming a villa; applied newest month first. Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-08 and 2026-09. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-37,2026-03-01,2026-03-01,16000.00,2026-03-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-37,2026-04-01,2026-04-01,16000.00,2026-04-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book. Source posted this month in Jul-2026; accrued here in the month it relates to."
TWR-37,2026-05-01,2026-05-01,16000.00,2026-05-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-37,2026-06-01,2026-06-01,16000.00,2026-06-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-37,2026-07-01,2026-07-01,16000.00,,0.00,Cheque,"UNPAID 16000.00 at 31-Jul-2026. The source states 112,000 outstanding for the villa group without naming a villa; applied newest month first. Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-12 and 2027-01. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-39,2026-03-01,2026-03-01,16000.00,2026-03-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-08 and 2026-09. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-39,2026-04-01,2026-04-01,16000.00,2026-04-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-08 and 2026-09. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book. Source posted this month in Jul-2026; accrued here in the month it relates to."
TWR-39,2026-05-01,2026-05-01,16000.00,2026-05-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-08 and 2026-09. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-39,2026-06-01,2026-06-01,16000.00,2026-06-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-08 and 2026-09. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-39,2026-07-01,2026-07-01,16000.00,,0.00,Cheque,"UNPAID 16000.00 at 31-Jul-2026. The source states 112,000 outstanding for the villa group without naming a villa; applied newest month first. Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-08 and 2026-09. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-45,2026-05-01,2026-05-01,16000.00,2026-05-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-45,2026-06-01,2026-06-01,16000.00,2026-06-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-45,2026-07-01,2026-07-01,16000.00,,0.00,Cheque,"UNPAID 16000.00 at 31-Jul-2026. The source states 112,000 outstanding for the villa group without naming a villa; applied newest month first. Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-58,2026-05-01,2026-05-01,16000.00,2026-05-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-58,2026-06-01,2026-06-01,16000.00,2026-06-01,16000.00,Cheque,"Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
TWR-58,2026-07-01,2026-07-01,16000.00,,0.00,Cheque,"UNPAID 16000.00 at 31-Jul-2026. The source states 112,000 outstanding for the villa group without naming a villa; applied newest month first. Villa share of the OAR-011 group agreement, 16,000/month. Rent-free 2026-03 and 2026-04. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
UG-169,2026-02-01,2026-02-01,30000.00,2026-02-01,30000.00,Cheque,"Source groups UG-169/180 at 30,000. The supplied agreement covers UG-169 only, so the whole amount posts there. Head lease UG-169. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
UG-169,2026-03-01,2026-03-01,30000.00,2026-03-01,30000.00,Cheque,"Source groups UG-169/180 at 30,000. The supplied agreement covers UG-169 only, so the whole amount posts there. Head lease UG-169. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
UG-169,2026-04-01,2026-04-01,30000.00,2026-04-01,30000.00,Cheque,"Source groups UG-169/180 at 30,000. The supplied agreement covers UG-169 only, so the whole amount posts there. Head lease UG-169. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
UG-169,2026-05-01,2026-05-01,30000.00,2026-05-01,30000.00,Cheque,"Source groups UG-169/180 at 30,000. The supplied agreement covers UG-169 only, so the whole amount posts there. Head lease UG-169. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
UG-169,2026-06-01,2026-06-01,30000.00,2026-06-01,30000.00,Cheque,"Source groups UG-169/180 at 30,000. The supplied agreement covers UG-169 only, so the whole amount posts there. Head lease UG-169. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
UG-169,2026-07-01,2026-07-01,30000.00,2026-07-01,30000.00,Cheque,"Source groups UG-169/180 at 30,000. The supplied agreement covers UG-169 only, so the whole amount posts there. Head lease UG-169. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book."
UG-20,2026-02-01,2026-02-01,39500.00,2026-02-01,39500.00,Cheque,Head lease UG-20. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
UG-20,2026-03-01,2026-03-01,56000.00,2026-03-01,56000.00,Cheque,Head lease UG-20. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
UG-20,2026-04-01,2026-04-01,56000.00,2026-04-01,56000.00,Cheque,Head lease UG-20. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
UG-20,2026-05-01,2026-05-01,56000.00,2026-05-01,56000.00,Cheque,Head lease UG-20. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
UG-20,2026-06-01,2026-06-01,56000.00,2026-06-01,56000.00,Cheque,Head lease UG-20. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
UG-20,2026-07-01,2026-07-01,56000.00,2026-07-01,56000.00,Cheque,Head lease UG-20. PAID_ON ASSUMED = accrual date; correct from the landlord cheque book.
