building,period_label,period_end,is_lump_period,rent_charged,rent_received,owner_rent,kahrama,wifi,profit,rent_free
MQ-56,Apr 2026,2026-04-30,0,21100.00,17200.00,15000.00,325.69,12.80,1861.50,
MQ-56,May 2026,2026-05-31,0,22400.00,12500.00,15000.00,325.69,12.80,-2838.50,
MQ-56,Jun 2026,2026-06-30,0,20200.00,14200.00,15000.00,325.69,12.80,-1138.50,
MQ-56,Jul 2026,2026-07-31,0,16400.00,15900.00,15000.00,325.69,12.80,561.50,
MR-130,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,738.24,29.02,-767.26,
MR-130,Nov 2025,2025-11-30,0,38750.00,34550.00,34000.00,738.24,29.02,-217.26,
MR-130,Dec 2025,2025-12-31,0,37300.00,37300.00,34000.00,738.24,29.02,2532.74,
MR-130,Jan 2026,2026-01-31,0,47100.00,45100.00,34000.00,738.24,29.02,10332.74,
MR-130,Feb 2026,2026-02-28,0,38900.00,38900.00,34000.00,738.24,29.02,4132.74,
MR-130,Mar 2026,2026-03-31,0,48900.00,48850.00,34000.00,738.24,29.02,14082.74,
MR-130,Apr 2026,2026-04-30,0,48900.00,44600.00,34000.00,738.24,29.02,9832.74,
MR-130,May 2026,2026-05-31,0,44400.00,35100.00,34000.00,738.24,29.02,332.74,
MR-130,Jun 2026,2026-06-30,0,43765.00,43765.00,34000.00,738.24,29.02,8997.74,
MR-130,Jul 2026,2026-07-31,0,50100.00,50100.00,34000.00,738.24,29.02,15332.74,
MT-21,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,434.26,17.07,-451.33,
MT-21,Nov 2025,2025-11-30,0,28000.00,28000.00,20000.00,434.26,17.07,7548.67,
MT-21,Dec 2025,2025-12-31,0,28000.00,28000.00,20000.00,434.26,17.07,7548.67,
MT-21,Jan 2026,2026-01-31,0,28000.00,28000.00,20000.00,434.26,17.07,7548.67,
MT-21,Feb 2026,2026-02-28,0,28000.00,28000.00,20000.00,434.26,17.07,7548.67,
MT-21,Mar 2026,2026-03-31,0,28000.00,28000.00,20000.00,434.26,17.07,7548.67,
MT-21,Apr 2026,2026-04-30,0,28000.00,28000.00,20000.00,434.26,17.07,7548.67,
MT-21,May 2026,2026-05-31,0,28000.00,28000.00,20000.00,434.26,17.07,7548.67,
MT-21,Jun 2026,2026-06-30,0,28000.00,19900.00,20000.00,434.26,17.07,-551.33,
MT-21,Jul 2026,2026-07-31,0,28000.00,18000.00,20000.00,434.26,17.07,-2451.33,
OG-48,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,1129.07,44.38,-1173.45,
OG-48,Nov 2025,2025-11-30,0,63600.00,63600.00,52000.00,1129.07,44.38,10426.55,
OG-48,Dec 2025,2025-12-31,0,63600.00,63600.00,52000.00,1129.07,44.38,10426.55,
OG-48,Jan 2026,2026-01-31,0,63600.00,63600.00,52000.00,1129.07,44.38,10426.55,
OG-48,Feb 2026,2026-02-28,0,63600.00,63600.00,52000.00,1129.07,44.38,10426.55,
OG-48,Mar 2026,2026-03-31,0,63600.00,63600.00,52000.00,1129.07,44.38,10426.55,
OG-48,Apr 2026,2026-04-30,0,63600.00,63600.00,52000.00,1129.07,44.38,10426.55,
OG-48,May 2026,2026-05-31,0,63600.00,63600.00,52000.00,1129.07,44.38,10426.55,
OG-48,Jun 2026,2026-06-30,0,63600.00,63600.00,52000.00,1129.07,44.38,10426.55,
OG-48,Jul 2026,2026-07-31,0,63600.00,30100.00,52000.00,1129.07,44.38,-23073.45,
TV-20,Aug-Oct 2025,2025-10-31,1,34700.00,34700.00,39000.00,376.36,14.79,-4691.15,
TV-20,Nov 2025,2025-11-30,0,14400.00,14400.00,0.00,376.36,14.79,14008.85,Quarterly payer - not a payment month in the cycle
TV-20,Dec 2025,2025-12-31,0,18200.00,18200.00,39000.00,376.36,14.79,-21191.15,
TV-20,Jan 2026,2026-01-31,0,22800.00,21000.00,0.00,376.36,14.79,20608.85,Quarterly payer - not a payment month in the cycle
TV-20,Feb 2026,2026-02-28,0,22800.00,20000.00,0.00,376.36,14.79,19608.85,Quarterly payer - not a payment month in the cycle
TV-20,Mar 2026,2026-03-31,0,21000.00,21000.00,39000.00,376.36,14.79,-18391.15,
TV-20,Apr 2026,2026-04-30,0,18800.00,7600.00,0.00,376.36,14.79,7208.85,Quarterly payer - not a payment month in the cycle
TV-20,May 2026,2026-05-31,0,22600.00,11400.00,0.00,376.36,14.79,11008.85,Quarterly payer - not a payment month in the cycle
TV-20,Jun 2026,2026-06-30,0,22600.00,22600.00,39000.00,376.36,14.79,-16791.15,
TV-20,Jul 2026,2026-07-31,0,22600.00,19800.00,0.00,376.36,14.79,19408.85,Quarterly payer - not a payment month in the cycle
TV-27,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,301.57,11.85,-313.42,
TV-27,Nov 2025,2025-11-30,0,0.00,0.00,0.00,301.57,11.85,-313.42,
TV-27,Dec 2025,2025-12-31,0,0.00,0.00,0.00,301.57,11.85,-313.42,
TV-27,Jan 2026,2026-01-31,0,0.00,0.00,0.00,301.57,11.85,-313.42,
TV-27,Feb 2026,2026-02-28,0,4500.00,4500.00,0.00,301.57,11.85,4186.58,Rent-free month granted by the landlord
TV-27,Mar 2026,2026-03-31,0,30600.00,21700.00,25000.00,301.57,11.85,-3613.42,
TV-27,Apr 2026,2026-04-30,0,30600.00,30600.00,25000.00,301.57,11.85,5286.58,
TV-27,May 2026,2026-05-31,0,38250.00,37750.00,25000.00,301.57,11.85,12436.58,
TV-27,Jun 2026,2026-06-30,0,37950.00,37950.00,25000.00,301.57,11.85,12636.58,
TV-27,Jul 2026,2026-07-31,0,37950.00,36200.00,25000.00,301.57,11.85,10886.58,
TV-66,Aug-Oct 2025,2025-10-31,1,31950.00,31950.00,0.00,303.98,11.95,31634.07,Rent-free month granted by the landlord
TV-66,Nov 2025,2025-11-30,0,19100.00,19100.00,14000.00,303.98,11.95,4784.07,
TV-66,Dec 2025,2025-12-31,0,16400.00,16400.00,14000.00,303.98,11.95,2084.07,
TV-66,Jan 2026,2026-01-31,0,20250.00,20250.00,14000.00,303.98,11.95,5934.07,
TV-66,Feb 2026,2026-02-28,0,20650.00,20650.00,14000.00,303.98,11.95,6334.07,
TV-66,Mar 2026,2026-03-31,0,21050.00,21050.00,14000.00,303.98,11.95,6734.07,
TV-66,Apr 2026,2026-04-30,0,21050.00,16550.00,14000.00,303.98,11.95,2234.07,
TV-66,May 2026,2026-05-31,0,21050.00,16550.00,14000.00,303.98,11.95,2234.07,
TV-66,Jun 2026,2026-06-30,0,21050.00,18550.00,14000.00,303.98,11.95,4234.07,
TV-66,Jul 2026,2026-07-31,0,19700.00,17200.00,14000.00,303.98,11.95,2884.07,
TV-68,Aug-Oct 2025,2025-10-31,1,19350.00,19050.00,14000.00,337.76,13.28,4698.97,
TV-68,Nov 2025,2025-11-30,0,12633.00,12633.00,14000.00,337.76,13.28,-1718.03,
TV-68,Dec 2025,2025-12-31,0,18800.00,18300.00,14000.00,337.76,13.28,3948.97,
TV-68,Jan 2026,2026-01-31,0,19600.00,19600.00,14000.00,337.76,13.28,5248.97,
TV-68,Feb 2026,2026-02-28,0,19800.00,19800.00,14000.00,337.76,13.28,5448.97,
TV-68,Mar 2026,2026-03-31,0,19800.00,19800.00,14000.00,337.76,13.28,5448.97,
TV-68,Apr 2026,2026-04-30,0,19800.00,16500.00,14000.00,337.76,13.28,2148.97,
TV-68,May 2026,2026-05-31,0,19700.00,14100.00,14000.00,337.76,13.28,-251.03,
TV-68,Jun 2026,2026-06-30,0,19700.00,17400.00,14000.00,337.76,13.28,3048.97,
TV-68,Jul 2026,2026-07-31,0,15100.00,10850.00,14000.00,337.76,13.28,-3501.03,
TWR-12,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-12,Nov 2025,2025-11-30,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-12,Dec 2025,2025-12-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-12,Jan 2026,2026-01-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-12,Feb 2026,2026-02-28,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-12,Mar 2026,2026-03-31,0,23800.00,22100.00,9600.00,154.40,6.07,12339.53,
TWR-12,Apr 2026,2026-04-30,0,23550.00,23550.00,9600.00,154.40,6.07,13789.53,
TWR-12,May 2026,2026-05-31,0,26000.00,26000.00,16000.00,154.40,6.07,9839.53,
TWR-12,Jun 2026,2026-06-30,0,25900.00,18900.00,14400.00,154.40,6.07,4339.53,
TWR-12,Jul 2026,2026-07-31,0,25900.00,21100.00,14400.00,154.40,6.07,6539.53,
TWR-16,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-16,Nov 2025,2025-11-30,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-16,Dec 2025,2025-12-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-16,Jan 2026,2026-01-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-16,Feb 2026,2026-02-28,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-16,Mar 2026,2026-03-31,0,27300.00,26000.00,9600.00,154.40,6.07,16239.53,
TWR-16,Apr 2026,2026-04-30,0,25800.00,25800.00,9600.00,154.40,6.07,16039.53,
TWR-16,May 2026,2026-05-31,0,24950.00,24950.00,16000.00,154.40,6.07,8789.53,
TWR-16,Jun 2026,2026-06-30,0,26450.00,23200.00,14400.00,154.40,6.07,8639.53,
TWR-16,Jul 2026,2026-07-31,0,26450.00,22750.00,14400.00,154.40,6.07,8189.53,
TWR-17,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-17,Nov 2025,2025-11-30,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-17,Dec 2025,2025-12-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-17,Jan 2026,2026-01-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-17,Feb 2026,2026-02-28,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-17,Mar 2026,2026-03-31,0,24750.00,24750.00,9600.00,154.40,6.07,14989.53,
TWR-17,Apr 2026,2026-04-30,0,22250.00,22250.00,9600.00,154.40,6.07,12489.53,
TWR-17,May 2026,2026-05-31,0,22650.00,22650.00,16000.00,154.40,6.07,6489.53,
TWR-17,Jun 2026,2026-06-30,0,22650.00,17700.00,14400.00,154.40,6.07,3139.53,
TWR-17,Jul 2026,2026-07-31,0,23150.00,15200.00,14400.00,154.40,6.07,639.53,
TWR-19,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-19,Nov 2025,2025-11-30,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-19,Dec 2025,2025-12-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-19,Jan 2026,2026-01-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-19,Feb 2026,2026-02-28,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-19,Mar 2026,2026-03-31,0,24800.00,24800.00,9600.00,154.40,6.07,15039.53,
TWR-19,Apr 2026,2026-04-30,0,24800.00,24700.00,9600.00,154.40,6.07,14939.53,
TWR-19,May 2026,2026-05-31,0,24550.00,24550.00,16000.00,154.40,6.07,8389.53,
TWR-19,Jun 2026,2026-06-30,0,22050.00,17400.00,14400.00,154.40,6.07,2839.53,
TWR-19,Jul 2026,2026-07-31,0,24750.00,19900.00,14400.00,154.40,6.07,5339.53,
TWR-20,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-20,Nov 2025,2025-11-30,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-20,Dec 2025,2025-12-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-20,Jan 2026,2026-01-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-20,Feb 2026,2026-02-28,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-20,Mar 2026,2026-03-31,0,28050.00,25550.00,9600.00,154.40,6.07,15789.53,
TWR-20,Apr 2026,2026-04-30,0,28050.00,28050.00,9600.00,154.40,6.07,18289.53,
TWR-20,May 2026,2026-05-31,0,26650.00,26650.00,16000.00,154.40,6.07,10489.53,
TWR-20,Jun 2026,2026-06-30,0,27450.00,19200.00,14400.00,154.40,6.07,4639.53,
TWR-20,Jul 2026,2026-07-31,0,29550.00,23500.00,14400.00,154.40,6.07,8939.53,
TWR-35,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-35,Nov 2025,2025-11-30,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-35,Dec 2025,2025-12-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-35,Jan 2026,2026-01-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-35,Feb 2026,2026-02-28,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-35,Mar 2026,2026-03-31,0,29250.00,29250.00,9600.00,154.40,6.07,19489.53,
TWR-35,Apr 2026,2026-04-30,0,29250.00,28050.00,9600.00,154.40,6.07,18289.53,
TWR-35,May 2026,2026-05-31,0,28050.00,28050.00,16000.00,154.40,6.07,11889.53,
TWR-35,Jun 2026,2026-06-30,0,28050.00,15750.00,14400.00,154.40,6.07,1189.53,
TWR-35,Jul 2026,2026-07-31,0,28750.00,21100.00,14400.00,154.40,6.07,6539.53,
TWR-37,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-37,Nov 2025,2025-11-30,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-37,Dec 2025,2025-12-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-37,Jan 2026,2026-01-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-37,Feb 2026,2026-02-28,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-37,Mar 2026,2026-03-31,0,24750.00,24750.00,9600.00,154.40,6.07,14989.53,
TWR-37,Apr 2026,2026-04-30,0,24750.00,24750.00,9600.00,154.40,6.07,14989.53,
TWR-37,May 2026,2026-05-31,0,24550.00,24550.00,16000.00,154.40,6.07,8389.53,
TWR-37,Jun 2026,2026-06-30,0,24550.00,20100.00,14400.00,154.40,6.07,5539.53,
TWR-37,Jul 2026,2026-07-31,0,24550.00,22900.00,14400.00,154.40,6.07,8339.53,
TWR-39,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-39,Nov 2025,2025-11-30,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-39,Dec 2025,2025-12-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-39,Jan 2026,2026-01-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-39,Feb 2026,2026-02-28,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-39,Mar 2026,2026-03-31,0,27450.00,27450.00,9600.00,154.40,6.07,17689.53,
TWR-39,Apr 2026,2026-04-30,0,27450.00,25900.00,9600.00,154.40,6.07,16139.53,
TWR-39,May 2026,2026-05-31,0,26600.00,26050.00,16000.00,154.40,6.07,9889.53,
TWR-39,Jun 2026,2026-06-30,0,24900.00,21050.00,14400.00,154.40,6.07,6489.53,
TWR-39,Jul 2026,2026-07-31,0,27000.00,23350.00,14400.00,154.40,6.07,8789.53,
TWR-45,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-45,Nov 2025,2025-11-30,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-45,Dec 2025,2025-12-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-45,Jan 2026,2026-01-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-45,Feb 2026,2026-02-28,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-45,Mar 2026,2026-03-31,0,23100.00,23100.00,9600.00,154.40,6.07,13339.53,
TWR-45,Apr 2026,2026-04-30,0,23775.00,18975.00,9600.00,154.40,6.07,9214.53,
TWR-45,May 2026,2026-05-31,0,24350.00,22500.00,16000.00,154.40,6.07,6339.53,
TWR-45,Jun 2026,2026-06-30,0,25650.00,16150.00,14400.00,154.40,6.07,1589.53,
TWR-45,Jul 2026,2026-07-31,0,25550.00,19600.00,14400.00,154.40,6.07,5039.53,
TWR-58,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-58,Nov 2025,2025-11-30,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-58,Dec 2025,2025-12-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-58,Jan 2026,2026-01-31,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-58,Feb 2026,2026-02-28,0,0.00,0.00,0.00,154.40,6.07,-160.47,
TWR-58,Mar 2026,2026-03-31,0,22350.00,20850.00,9600.00,154.40,6.07,11089.53,
TWR-58,Apr 2026,2026-04-30,0,24800.00,24800.00,9600.00,154.40,6.07,15039.53,
TWR-58,May 2026,2026-05-31,0,24800.00,24300.00,16000.00,154.40,6.07,8139.53,
TWR-58,Jun 2026,2026-06-30,0,24700.00,16650.00,14400.00,154.40,6.07,2089.53,
TWR-58,Jul 2026,2026-07-31,0,24500.00,16550.00,14400.00,154.40,6.07,1989.53,
UG-169,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,434.26,17.07,-451.33,
UG-169,Nov 2025,2025-11-30,0,34600.00,34600.00,0.00,434.26,17.07,34148.67,Rent-free month granted by the landlord
UG-169,Dec 2025,2025-12-31,0,33500.00,33500.00,0.00,434.26,17.07,33048.67,Rent-free month granted by the landlord
UG-169,Jan 2026,2026-01-31,0,35400.00,35400.00,0.00,434.26,17.07,34948.67,Rent-free month granted by the landlord
UG-169,Feb 2026,2026-02-28,0,36200.00,36200.00,30000.00,434.26,17.07,5748.67,
UG-169,Mar 2026,2026-03-31,0,36200.00,36200.00,30000.00,434.26,17.07,5748.67,
UG-169,Apr 2026,2026-04-30,0,36100.00,35600.00,30000.00,434.26,17.07,5148.67,
UG-169,May 2026,2026-05-31,0,36100.00,34200.00,30000.00,434.26,17.07,3748.67,
UG-169,Jun 2026,2026-06-30,0,34300.00,30550.00,30000.00,434.26,17.07,98.67,
UG-169,Jul 2026,2026-07-31,0,34300.00,32400.00,30000.00,434.26,17.07,1948.67,
UG-20,Aug-Oct 2025,2025-10-31,1,0.00,0.00,0.00,770.81,30.30,-801.11,
UG-20,Nov 2025,2025-11-30,0,0.00,0.00,0.00,770.81,30.30,-801.11,
UG-20,Dec 2025,2025-12-31,0,0.00,0.00,0.00,770.81,30.30,-801.11,
UG-20,Jan 2026,2026-01-31,0,0.00,0.00,0.00,770.81,30.30,-801.11,
UG-20,Feb 2026,2026-02-28,0,46100.00,41100.00,39500.00,770.81,30.30,798.89,
UG-20,Mar 2026,2026-03-31,0,57100.00,57100.00,56000.00,770.81,30.30,298.89,
UG-20,Apr 2026,2026-04-30,0,57200.00,56700.00,56000.00,770.81,30.30,-101.11,
UG-20,May 2026,2026-05-31,0,55750.00,46724.00,56000.00,770.81,30.30,-10077.11,
UG-20,Jun 2026,2026-06-30,0,61350.00,47424.00,56000.00,770.81,30.30,-9377.11,
UG-20,Jul 2026,2026-07-31,0,54450.00,41074.00,56000.00,770.81,30.30,-15727.11,
